week,week_start_date,market,brand,keyword,flavor,search_volume,relative_index,yoy_change_pct,is_anomaly_week,anomaly_type
2025-W11,2025-03-19,US,Lay's,lays classic,classic,57578,1.047,2.3,False,
2025-W11,2025-03-19,US,Lay's,lays sour cream onion,sour cream onion,25700,0.886,-4.1,False,
2025-W11,2025-03-19,US,Lay's,lays baked,baked,23521,0.98,-16.9,False,
2025-W11,2025-03-19,US,Lay's,lays chile limon,chile limon,22354,1.177,-1.7,False,
2025-W11,2025-03-19,US,Lay's,buy lays bulk,buy  bulk,20497,1.139,-4.0,False,
2025-W11,2025-03-19,US,Pringles,pringles chips,chips,58863,0.949,24.8,False,
2025-W11,2025-03-19,US,Pringles,pringles sour cream,sour cream,34894,1.026,0.2,False,
2025-W11,2025-03-19,US,Pringles,pringles original,original,27248,0.973,1.6,False,
2025-W11,2025-03-19,US,Pringles,pringles bbq,bbq,19089,0.909,24.8,False,
2025-W11,2025-03-19,US,Pringles,pringles price drop,price drop,12835,1.167,7.9,False,
2025-W11,2025-03-19,US,Doritos,doritos nacho cheese,nacho cheese,58231,1.004,6.6,False,
2025-W11,2025-03-19,US,Doritos,doritos cool ranch,cool ranch,56188,1.171,0.2,False,
2025-W11,2025-03-19,US,Doritos,doritos flamin hot,flamin hot,39918,0.95,4.9,False,
2025-W11,2025-03-19,US,Doritos,doritos spicy nacho,spicy nacho,32877,1.061,2.0,False,
2025-W11,2025-03-19,US,Doritos,doritos controversy,controversy,3123,0.39,18.2,False,
2025-W11,2025-03-19,US,category,best chips brand,best chips brand,55498,1.067,11.3,False,
2025-W11,2025-03-19,US,category,healthy chip snacks,healthy chip snacks,91365,1.038,10.0,False,
2025-W11,2025-03-19,US,category,chips on sale near me,chips on sale near me,65707,1.043,2.7,False,
2025-W11,2025-03-19,US,category,super bowl snack ideas,super bowl snack ideas,49747,1.131,-13.7,False,
2025-W12,2025-03-26,India,Lay's,lays chips,chips,87494,1.182,10.5,False,
2025-W12,2025-03-26,India,Lay's,lays magic masala,magic masala,70495,1.382,32.3,False,
2025-W12,2025-03-26,India,Lay's,lays classic salted,classic salted,54645,1.438,0.5,False,
2025-W12,2025-03-26,India,Lay's,lays american cream onion,american cream onion,35946,1.24,15.6,False,
2025-W12,2025-03-26,India,Lay's,lays spanish tomato tango,spanish tomato tango,26298,1.195,10.3,False,
2025-W12,2025-03-26,India,Lay's,lays max peri peri,max peri peri,26086,1.449,2.2,False,
2025-W12,2025-03-26,India,Lay's,buy lays online,buy  online,39713,1.281,-5.3,False,
2025-W12,2025-03-26,India,Lay's,lays price,price,37765,1.349,7.4,False,
2025-W12,2025-03-26,India,Pringles,pringles chips,chips,56345,1.483,-7.8,False,
2025-W12,2025-03-26,India,Pringles,pringles original,original,27394,1.245,8.4,False,
2025-W12,2025-03-26,India,Pringles,pringles sour cream onion,sour cream onion,23759,1.32,30.6,False,
2025-W12,2025-03-26,India,Pringles,pringles price india,price india,23935,1.496,15.9,False,
2025-W12,2025-03-26,India,Pringles,pringles cheddar,cheddar,12985,1.18,2.1,False,
2025-W12,2025-03-26,India,Doritos,doritos nacho cheese,nacho cheese,37470,1.292,19.4,False,
2025-W12,2025-03-26,India,Doritos,doritos cool ranch,cool ranch,23740,1.396,13.0,False,
2025-W12,2025-03-26,India,Doritos,doritos flamin hot,flamin hot,28522,1.358,8.5,False,
2025-W12,2025-03-26,India,Doritos,doritos sweet chili,sweet chili,15086,1.257,4.0,False,
2025-W12,2025-03-26,India,Doritos,doritos controversy,controversy,1778,0.445,-1.3,False,
2025-W12,2025-03-26,India,category,best chips brand india,best chips brand india,60875,1.268,28.3,False,
2025-W12,2025-03-26,India,category,healthy snacks india,healthy snacks india,89580,1.262,9.9,False,
2025-W12,2025-03-26,India,category,chips on offer today,chips on offer today,53476,1.371,9.8,False,
2025-W12,2025-03-26,India,category,snacks for ipl party,snacks for ipl party,83509,3.796,-2.6,False,
2025-W12,2025-03-26,US,Lay's,lays chips,chips,74659,1.098,13.0,False,
2025-W12,2025-03-26,US,Lay's,lays classic,classic,52592,0.956,23.8,False,
2025-W12,2025-03-26,US,Lay's,lays sour cream onion,sour cream onion,33390,1.151,23.6,False,
2025-W12,2025-03-26,US,Lay's,lays baked,baked,23415,0.976,6.9,False,
2025-W12,2025-03-26,US,Lay's,lays chile limon,chile limon,20678,1.088,26.2,False,
2025-W12,2025-03-26,US,Lay's,buy lays bulk,buy  bulk,18248,1.014,-19.6,False,
2025-W12,2025-03-26,US,Pringles,pringles chips,chips,54054,0.872,0.4,False,
2025-W12,2025-03-26,US,Pringles,pringles sour cream,sour cream,37996,1.118,3.9,False,
2025-W12,2025-03-26,US,Pringles,pringles original,original,28779,1.028,35.3,False,
2025-W12,2025-03-26,US,Pringles,pringles bbq,bbq,19345,0.921,13.4,False,
2025-W12,2025-03-26,US,Pringles,pringles price drop,price drop,10414,0.947,21.4,False,
2025-W12,2025-03-26,US,Doritos,doritos nacho cheese,nacho cheese,57292,0.988,20.2,False,
2025-W12,2025-03-26,US,Doritos,doritos cool ranch,cool ranch,48021,1.0,21.8,False,
2025-W12,2025-03-26,US,Doritos,doritos flamin hot,flamin hot,36235,0.863,-14.8,False,
2025-W12,2025-03-26,US,Doritos,doritos spicy nacho,spicy nacho,29643,0.956,30.4,False,
2025-W12,2025-03-26,US,Doritos,doritos controversy,controversy,2757,0.345,-7.4,False,
2025-W12,2025-03-26,US,category,best chips brand,best chips brand,46999,0.904,10.2,False,
2025-W12,2025-03-26,US,category,healthy chip snacks,healthy chip snacks,88318,1.004,37.5,False,
2025-W12,2025-03-26,US,category,chips on sale near me,chips on sale near me,67531,1.072,26.3,False,
2025-W12,2025-03-26,US,category,super bowl snack ideas,super bowl snack ideas,44721,1.016,-8.0,False,
2025-W13,2025-04-02,India,Lay's,lays chips,chips,85674,1.158,16.4,False,
2025-W13,2025-04-02,India,Lay's,lays magic masala,magic masala,56054,1.099,-19.2,False,
2025-W13,2025-04-02,India,Lay's,lays classic salted,classic salted,53860,1.417,-9.5,False,
2025-W13,2025-04-02,India,Lay's,lays american cream onion,american cream onion,32639,1.125,-8.4,False,
2025-W13,2025-04-02,India,Lay's,lays spanish tomato tango,spanish tomato tango,30362,1.38,15.9,False,
2025-W13,2025-04-02,India,Lay's,lays max peri peri,max peri peri,20389,1.133,5.5,False,
2025-W13,2025-04-02,India,Lay's,buy lays online,buy  online,42567,1.373,0.8,False,
2025-W13,2025-04-02,India,Lay's,lays price,price,32270,1.153,19.0,False,
2025-W13,2025-04-02,India,Pringles,pringles chips,chips,45935,1.209,-7.9,False,
2025-W13,2025-04-02,India,Pringles,pringles original,original,29013,1.319,-2.8,False,
2025-W13,2025-04-02,India,Pringles,pringles sour cream onion,sour cream onion,22392,1.244,17.8,False,
2025-W13,2025-04-02,India,Pringles,pringles price india,price india,18762,1.173,8.9,False,
2025-W13,2025-04-02,India,Pringles,pringles cheddar,cheddar,12112,1.101,29.4,False,
2025-W13,2025-04-02,India,Doritos,doritos nacho cheese,nacho cheese,39405,1.359,-0.2,False,
2025-W13,2025-04-02,India,Doritos,doritos cool ranch,cool ranch,22311,1.312,18.8,False,
2025-W13,2025-04-02,India,Doritos,doritos flamin hot,flamin hot,30115,1.434,18.5,False,
2025-W13,2025-04-02,India,Doritos,doritos sweet chili,sweet chili,17256,1.438,3.7,False,
2025-W13,2025-04-02,India,Doritos,doritos controversy,controversy,1365,0.341,8.1,False,
2025-W13,2025-04-02,India,category,best chips brand india,best chips brand india,67987,1.416,-6.5,False,
2025-W13,2025-04-02,India,category,healthy snacks india,healthy snacks india,93956,1.323,4.2,False,
2025-W13,2025-04-02,India,category,chips on offer today,chips on offer today,46586,1.195,26.0,False,
2025-W13,2025-04-02,India,category,snacks for ipl party,snacks for ipl party,86067,3.912,3.7,False,
2025-W13,2025-04-02,US,Lay's,lays chips,chips,76081,1.119,0.1,False,
2025-W13,2025-04-02,US,Lay's,lays classic,classic,52651,0.957,32.1,False,
2025-W13,2025-04-02,US,Lay's,lays sour cream onion,sour cream onion,31482,1.086,28.2,False,
2025-W13,2025-04-02,US,Lay's,lays baked,baked,27629,1.151,22.1,False,
2025-W13,2025-04-02,US,Lay's,lays chile limon,chile limon,18020,0.948,22.5,False,
2025-W13,2025-04-02,US,Lay's,buy lays bulk,buy  bulk,19783,1.099,3.6,False,
2025-W13,2025-04-02,US,Pringles,pringles chips,chips,69262,1.117,14.5,False,
2025-W13,2025-04-02,US,Pringles,pringles sour cream,sour cream,37247,1.095,10.7,False,
2025-W13,2025-04-02,US,Pringles,pringles original,original,25543,0.912,1.8,False,
2025-W13,2025-04-02,US,Pringles,pringles bbq,bbq,19423,0.925,12.0,False,
2025-W13,2025-04-02,US,Pringles,pringles price drop,price drop,12649,1.15,1.2,False,
2025-W13,2025-04-02,US,Doritos,doritos nacho cheese,nacho cheese,55217,0.952,-23.1,False,
2025-W13,2025-04-02,US,Doritos,doritos cool ranch,cool ranch,41563,0.866,47.5,False,
2025-W13,2025-04-02,US,Doritos,doritos flamin hot,flamin hot,40256,0.958,10.3,False,
2025-W13,2025-04-02,US,Doritos,doritos spicy nacho,spicy nacho,33335,1.075,-5.1,False,
2025-W13,2025-04-02,US,Doritos,doritos controversy,controversy,3852,0.481,6.6,False,
2025-W13,2025-04-02,US,category,best chips brand,best chips brand,55462,1.067,-2.4,False,
2025-W13,2025-04-02,US,category,healthy chip snacks,healthy chip snacks,89268,1.014,3.9,False,
2025-W13,2025-04-02,US,category,chips on sale near me,chips on sale near me,62201,0.987,6.3,False,
2025-W13,2025-04-02,US,category,super bowl snack ideas,super bowl snack ideas,42557,0.967,5.4,False,
2025-W14,2025-04-09,India,Lay's,lays chips,chips,406036,5.487,10.8,True,lays_crisis
2025-W14,2025-04-09,India,Lay's,lays magic masala,magic masala,163384,3.204,33.8,True,lays_crisis
2025-W14,2025-04-09,India,Lay's,lays classic salted,classic salted,122300,3.218,2.6,True,lays_crisis
2025-W14,2025-04-09,India,Lay's,lays american cream onion,american cream onion,130888,4.513,5.6,True,lays_crisis
2025-W14,2025-04-09,India,Lay's,lays spanish tomato tango,spanish tomato tango,100749,4.58,13.7,True,lays_crisis
2025-W14,2025-04-09,India,Lay's,lays max peri peri,max peri peri,97244,5.402,-20.3,True,lays_crisis
2025-W14,2025-04-09,India,Lay's,buy lays online,buy  online,122441,3.95,-7.0,True,lays_crisis
2025-W14,2025-04-09,India,Lay's,lays price,price,93432,3.337,12.8,True,lays_crisis
2025-W14,2025-04-09,India,Pringles,pringles chips,chips,48662,1.281,-14.1,True,lays_crisis
2025-W14,2025-04-09,India,Pringles,pringles original,original,24858,1.13,-0.4,True,lays_crisis
2025-W14,2025-04-09,India,Pringles,pringles sour cream onion,sour cream onion,23419,1.301,28.3,True,lays_crisis
2025-W14,2025-04-09,India,Pringles,pringles price india,price india,19610,1.226,23.9,True,lays_crisis
2025-W14,2025-04-09,India,Pringles,pringles cheddar,cheddar,13646,1.241,4.2,True,lays_crisis
2025-W14,2025-04-09,India,Doritos,doritos nacho cheese,nacho cheese,32421,1.118,4.7,True,lays_crisis
2025-W14,2025-04-09,India,Doritos,doritos cool ranch,cool ranch,18681,1.099,6.0,True,lays_crisis
2025-W14,2025-04-09,India,Doritos,doritos flamin hot,flamin hot,24861,1.184,13.9,True,lays_crisis
2025-W14,2025-04-09,India,Doritos,doritos sweet chili,sweet chili,12423,1.035,-0.8,True,lays_crisis
2025-W14,2025-04-09,India,Doritos,doritos controversy,controversy,1725,0.431,7.0,True,lays_crisis
2025-W14,2025-04-09,India,category,best chips brand india,best chips brand india,64667,1.347,18.0,True,lays_crisis
2025-W14,2025-04-09,India,category,healthy snacks india,healthy snacks india,87197,1.228,11.9,True,lays_crisis
2025-W14,2025-04-09,India,category,chips on offer today,chips on offer today,50635,1.298,-1.9,True,lays_crisis
2025-W14,2025-04-09,India,category,snacks for ipl party,snacks for ipl party,26876,1.222,17.5,True,lays_crisis
2025-W14,2025-04-09,US,Lay's,lays chips,chips,62570,0.92,1.8,True,lays_crisis
2025-W14,2025-04-09,US,Lay's,lays classic,classic,58240,1.059,3.8,True,lays_crisis
2025-W14,2025-04-09,US,Lay's,lays sour cream onion,sour cream onion,29463,1.016,21.7,True,lays_crisis
2025-W14,2025-04-09,US,Lay's,lays baked,baked,23542,0.981,-9.0,True,lays_crisis
2025-W14,2025-04-09,US,Lay's,lays chile limon,chile limon,19087,1.005,-6.5,True,lays_crisis
2025-W14,2025-04-09,US,Lay's,buy lays bulk,buy  bulk,16460,0.914,12.7,True,lays_crisis
2025-W14,2025-04-09,US,Pringles,pringles chips,chips,62587,1.009,6.1,True,lays_crisis
2025-W14,2025-04-09,US,Pringles,pringles sour cream,sour cream,40250,1.184,9.3,True,lays_crisis
2025-W14,2025-04-09,US,Pringles,pringles original,original,28390,1.014,3.7,True,lays_crisis
2025-W14,2025-04-09,US,Pringles,pringles bbq,bbq,20982,0.999,-3.5,True,lays_crisis
2025-W14,2025-04-09,US,Pringles,pringles price drop,price drop,12317,1.12,10.2,True,lays_crisis
2025-W14,2025-04-09,US,Doritos,doritos nacho cheese,nacho cheese,66642,1.149,-5.3,True,lays_crisis
2025-W14,2025-04-09,US,Doritos,doritos cool ranch,cool ranch,44203,0.921,20.0,True,lays_crisis
2025-W14,2025-04-09,US,Doritos,doritos flamin hot,flamin hot,46197,1.1,-2.8,True,lays_crisis
2025-W14,2025-04-09,US,Doritos,doritos spicy nacho,spicy nacho,32073,1.035,-2.9,True,lays_crisis
2025-W14,2025-04-09,US,Doritos,doritos controversy,controversy,3010,0.376,19.7,True,lays_crisis
2025-W14,2025-04-09,US,category,best chips brand,best chips brand,62264,1.197,-13.5,True,lays_crisis
2025-W14,2025-04-09,US,category,healthy chip snacks,healthy chip snacks,85112,0.967,7.8,True,lays_crisis
2025-W14,2025-04-09,US,category,chips on sale near me,chips on sale near me,71690,1.138,21.3,True,lays_crisis
2025-W14,2025-04-09,US,category,super bowl snack ideas,super bowl snack ideas,44269,1.006,-18.1,True,lays_crisis
2025-W15,2025-04-16,India,Lay's,lays chips,chips,260716,3.523,-3.6,False,
2025-W15,2025-04-16,India,Lay's,lays magic masala,magic masala,217419,4.263,19.3,False,
2025-W15,2025-04-16,India,Lay's,lays classic salted,classic salted,154009,4.053,2.3,False,
2025-W15,2025-04-16,India,Lay's,lays american cream onion,american cream onion,115327,3.977,39.6,False,
2025-W15,2025-04-16,India,Lay's,lays spanish tomato tango,spanish tomato tango,98441,4.475,14.6,False,
2025-W15,2025-04-16,India,Lay's,lays max peri peri,max peri peri,72155,4.009,-1.0,False,
2025-W15,2025-04-16,India,Lay's,buy lays online,buy  online,109592,3.535,16.0,False,
2025-W15,2025-04-16,India,Lay's,lays price,price,113340,4.048,5.7,False,
2025-W15,2025-04-16,India,Pringles,pringles chips,chips,47923,1.261,35.5,False,
2025-W15,2025-04-16,India,Pringles,pringles original,original,23212,1.055,14.5,False,
2025-W15,2025-04-16,India,Pringles,pringles sour cream onion,sour cream onion,19229,1.068,-11.3,False,
2025-W15,2025-04-16,India,Pringles,pringles price india,price india,21041,1.315,12.8,False,
2025-W15,2025-04-16,India,Pringles,pringles cheddar,cheddar,13727,1.248,14.7,False,
2025-W15,2025-04-16,India,Doritos,doritos nacho cheese,nacho cheese,35126,1.211,-10.9,False,
2025-W15,2025-04-16,India,Doritos,doritos cool ranch,cool ranch,17343,1.02,14.4,False,
2025-W15,2025-04-16,India,Doritos,doritos flamin hot,flamin hot,27813,1.324,-6.7,False,
2025-W15,2025-04-16,India,Doritos,doritos sweet chili,sweet chili,14223,1.185,-4.3,False,
2025-W15,2025-04-16,India,Doritos,doritos controversy,controversy,1230,0.307,5.3,False,
2025-W15,2025-04-16,India,category,best chips brand india,best chips brand india,55581,1.158,12.0,False,
2025-W15,2025-04-16,India,category,healthy snacks india,healthy snacks india,72954,1.028,5.0,False,
2025-W15,2025-04-16,India,category,chips on offer today,chips on offer today,40742,1.045,9.8,False,
2025-W15,2025-04-16,India,category,snacks for ipl party,snacks for ipl party,29247,1.329,3.2,False,
2025-W15,2025-04-16,US,Lay's,lays chips,chips,75940,1.117,-10.1,False,
2025-W15,2025-04-16,US,Lay's,lays classic,classic,60243,1.095,4.9,False,
2025-W15,2025-04-16,US,Lay's,lays sour cream onion,sour cream onion,34312,1.183,4.4,False,
2025-W15,2025-04-16,US,Lay's,lays baked,baked,30878,1.287,17.8,False,
2025-W15,2025-04-16,US,Lay's,lays chile limon,chile limon,21004,1.105,17.0,False,
2025-W15,2025-04-16,US,Lay's,buy lays bulk,buy  bulk,19419,1.079,15.5,False,
2025-W15,2025-04-16,US,Pringles,pringles chips,chips,68773,1.109,19.7,False,
2025-W15,2025-04-16,US,Pringles,pringles sour cream,sour cream,41271,1.214,-18.7,False,
2025-W15,2025-04-16,US,Pringles,pringles original,original,28845,1.03,-10.6,False,
2025-W15,2025-04-16,US,Pringles,pringles bbq,bbq,23240,1.107,-5.5,False,
2025-W15,2025-04-16,US,Pringles,pringles price drop,price drop,12475,1.134,-0.1,False,
2025-W15,2025-04-16,US,Doritos,doritos nacho cheese,nacho cheese,61332,1.057,34.8,False,
2025-W15,2025-04-16,US,Doritos,doritos cool ranch,cool ranch,58878,1.227,15.7,False,
2025-W15,2025-04-16,US,Doritos,doritos flamin hot,flamin hot,49489,1.178,32.0,False,
2025-W15,2025-04-16,US,Doritos,doritos spicy nacho,spicy nacho,32037,1.033,12.7,False,
2025-W15,2025-04-16,US,Doritos,doritos controversy,controversy,4019,0.502,2.9,False,
2025-W15,2025-04-16,US,category,best chips brand,best chips brand,61786,1.188,14.2,False,
2025-W15,2025-04-16,US,category,healthy chip snacks,healthy chip snacks,84992,0.966,6.9,False,
2025-W15,2025-04-16,US,category,chips on sale near me,chips on sale near me,74806,1.187,20.1,False,
2025-W15,2025-04-16,US,category,super bowl snack ideas,super bowl snack ideas,56636,1.287,11.4,False,
2025-W16,2025-04-23,India,Lay's,lays chips,chips,230715,3.118,19.4,False,
2025-W16,2025-04-23,India,Lay's,lays magic masala,magic masala,196203,3.847,29.6,False,
2025-W16,2025-04-23,India,Lay's,lays classic salted,classic salted,165294,4.35,-1.2,False,
2025-W16,2025-04-23,India,Lay's,lays american cream onion,american cream onion,142284,4.906,-1.9,False,
2025-W16,2025-04-23,India,Lay's,lays spanish tomato tango,spanish tomato tango,86121,3.915,9.3,False,
2025-W16,2025-04-23,India,Lay's,lays max peri peri,max peri peri,63081,3.505,-19.4,False,
2025-W16,2025-04-23,India,Lay's,buy lays online,buy  online,111793,3.606,-6.6,False,
2025-W16,2025-04-23,India,Lay's,lays price,price,109139,3.898,15.2,False,
2025-W16,2025-04-23,India,Pringles,pringles chips,chips,45956,1.209,5.1,False,
2025-W16,2025-04-23,India,Pringles,pringles original,original,27034,1.229,-0.3,False,
2025-W16,2025-04-23,India,Pringles,pringles sour cream onion,sour cream onion,21968,1.22,4.4,False,
2025-W16,2025-04-23,India,Pringles,pringles price india,price india,15345,0.959,4.8,False,
2025-W16,2025-04-23,India,Pringles,pringles cheddar,cheddar,13332,1.212,3.3,False,
2025-W16,2025-04-23,India,Doritos,doritos nacho cheese,nacho cheese,27559,0.95,2.7,False,
2025-W16,2025-04-23,India,Doritos,doritos cool ranch,cool ranch,21143,1.244,17.6,False,
2025-W16,2025-04-23,India,Doritos,doritos flamin hot,flamin hot,22805,1.086,-1.3,False,
2025-W16,2025-04-23,India,Doritos,doritos sweet chili,sweet chili,13536,1.128,13.4,False,
2025-W16,2025-04-23,India,Doritos,doritos controversy,controversy,1176,0.294,15.7,False,
2025-W16,2025-04-23,India,category,best chips brand india,best chips brand india,55609,1.159,11.4,False,
2025-W16,2025-04-23,India,category,healthy snacks india,healthy snacks india,88175,1.242,26.0,False,
2025-W16,2025-04-23,India,category,chips on offer today,chips on offer today,38206,0.98,-5.6,False,
2025-W16,2025-04-23,India,category,snacks for ipl party,snacks for ipl party,27813,1.264,11.2,False,
2025-W16,2025-04-23,US,Lay's,lays chips,chips,93662,1.377,30.0,False,
2025-W16,2025-04-23,US,Lay's,lays classic,classic,72597,1.32,32.8,False,
2025-W16,2025-04-23,US,Lay's,lays sour cream onion,sour cream onion,36625,1.263,-11.6,False,
2025-W16,2025-04-23,US,Lay's,lays baked,baked,31224,1.301,0.8,False,
2025-W16,2025-04-23,US,Lay's,lays chile limon,chile limon,25458,1.34,24.4,False,
2025-W16,2025-04-23,US,Lay's,buy lays bulk,buy  bulk,20862,1.159,-9.8,False,
2025-W16,2025-04-23,US,Pringles,pringles chips,chips,67266,1.085,-8.9,False,
2025-W16,2025-04-23,US,Pringles,pringles sour cream,sour cream,38307,1.127,8.0,False,
2025-W16,2025-04-23,US,Pringles,pringles original,original,31832,1.137,12.6,False,
2025-W16,2025-04-23,US,Pringles,pringles bbq,bbq,25146,1.197,-8.4,False,
2025-W16,2025-04-23,US,Pringles,pringles price drop,price drop,13395,1.218,-22.7,False,
2025-W16,2025-04-23,US,Doritos,doritos nacho cheese,nacho cheese,78196,1.348,21.7,False,
2025-W16,2025-04-23,US,Doritos,doritos cool ranch,cool ranch,58729,1.224,-12.9,False,
2025-W16,2025-04-23,US,Doritos,doritos flamin hot,flamin hot,51544,1.227,6.0,False,
2025-W16,2025-04-23,US,Doritos,doritos spicy nacho,spicy nacho,34209,1.104,13.1,False,
2025-W16,2025-04-23,US,Doritos,doritos controversy,controversy,2291,0.286,1.4,False,
2025-W16,2025-04-23,US,category,best chips brand,best chips brand,65731,1.264,15.9,False,
2025-W16,2025-04-23,US,category,healthy chip snacks,healthy chip snacks,99221,1.128,6.1,False,
2025-W16,2025-04-23,US,category,chips on sale near me,chips on sale near me,89713,1.424,3.3,False,
2025-W16,2025-04-23,US,category,super bowl snack ideas,super bowl snack ideas,62370,1.417,-19.8,False,
2025-W17,2025-04-30,India,Lay's,lays chips,chips,90952,1.229,1.7,False,
2025-W17,2025-04-30,India,Lay's,lays magic masala,magic masala,53758,1.054,13.7,False,
2025-W17,2025-04-30,India,Lay's,lays classic salted,classic salted,45362,1.194,18.4,False,
2025-W17,2025-04-30,India,Lay's,lays american cream onion,american cream onion,27886,0.962,6.8,False,
2025-W17,2025-04-30,India,Lay's,lays spanish tomato tango,spanish tomato tango,26680,1.213,7.2,False,
2025-W17,2025-04-30,India,Lay's,lays max peri peri,max peri peri,18377,1.021,7.6,False,
2025-W17,2025-04-30,India,Lay's,buy lays online,buy  online,35576,1.148,17.3,False,
2025-W17,2025-04-30,India,Lay's,lays price,price,32401,1.157,2.9,False,
2025-W17,2025-04-30,India,Pringles,pringles chips,chips,45793,1.205,-14.4,False,
2025-W17,2025-04-30,India,Pringles,pringles original,original,25684,1.167,-15.7,False,
2025-W17,2025-04-30,India,Pringles,pringles sour cream onion,sour cream onion,22132,1.23,25.4,False,
2025-W17,2025-04-30,India,Pringles,pringles price india,price india,14841,0.928,13.5,False,
2025-W17,2025-04-30,India,Pringles,pringles cheddar,cheddar,13340,1.213,25.4,False,
2025-W17,2025-04-30,India,Doritos,doritos nacho cheese,nacho cheese,33470,1.154,12.5,False,
2025-W17,2025-04-30,India,Doritos,doritos cool ranch,cool ranch,17331,1.019,2.4,False,
2025-W17,2025-04-30,India,Doritos,doritos flamin hot,flamin hot,21512,1.024,35.3,False,
2025-W17,2025-04-30,India,Doritos,doritos sweet chili,sweet chili,11018,0.918,5.6,False,
2025-W17,2025-04-30,India,Doritos,doritos controversy,controversy,1906,0.476,29.2,False,
2025-W17,2025-04-30,India,category,best chips brand india,best chips brand india,54439,1.134,-4.0,False,
2025-W17,2025-04-30,India,category,healthy snacks india,healthy snacks india,65366,0.921,9.7,False,
2025-W17,2025-04-30,India,category,chips on offer today,chips on offer today,40782,1.046,-3.2,False,
2025-W17,2025-04-30,India,category,snacks for ipl party,snacks for ipl party,23460,1.066,1.9,False,
2025-W17,2025-04-30,US,Lay's,lays chips,chips,93145,1.37,5.9,False,
2025-W17,2025-04-30,US,Lay's,lays classic,classic,74091,1.347,-0.8,False,
2025-W17,2025-04-30,US,Lay's,lays sour cream onion,sour cream onion,41228,1.422,9.7,False,
2025-W17,2025-04-30,US,Lay's,lays baked,baked,29984,1.249,9.6,False,
2025-W17,2025-04-30,US,Lay's,lays chile limon,chile limon,26293,1.384,13.9,False,
2025-W17,2025-04-30,US,Lay's,buy lays bulk,buy  bulk,24263,1.348,-16.0,False,
2025-W17,2025-04-30,US,Pringles,pringles chips,chips,73179,1.18,0.8,False,
2025-W17,2025-04-30,US,Pringles,pringles sour cream,sour cream,46286,1.361,17.0,False,
2025-W17,2025-04-30,US,Pringles,pringles original,original,41621,1.486,0.3,False,
2025-W17,2025-04-30,US,Pringles,pringles bbq,bbq,31636,1.506,8.4,False,
2025-W17,2025-04-30,US,Pringles,pringles price drop,price drop,15995,1.454,22.0,False,
2025-W17,2025-04-30,US,Doritos,doritos nacho cheese,nacho cheese,66509,1.147,-11.3,False,
2025-W17,2025-04-30,US,Doritos,doritos cool ranch,cool ranch,64260,1.339,20.7,False,
2025-W17,2025-04-30,US,Doritos,doritos flamin hot,flamin hot,52002,1.238,11.4,False,
2025-W17,2025-04-30,US,Doritos,doritos spicy nacho,spicy nacho,38342,1.237,-3.1,False,
2025-W17,2025-04-30,US,Doritos,doritos controversy,controversy,3584,0.448,12.5,False,
2025-W17,2025-04-30,US,category,best chips brand,best chips brand,63206,1.216,15.4,False,
2025-W17,2025-04-30,US,category,healthy chip snacks,healthy chip snacks,131831,1.498,-0.1,False,
2025-W17,2025-04-30,US,category,chips on sale near me,chips on sale near me,94647,1.502,2.2,False,
2025-W17,2025-04-30,US,category,super bowl snack ideas,super bowl snack ideas,50611,1.15,23.9,False,
2025-W18,2025-05-07,India,Lay's,lays chips,chips,88052,1.19,-9.1,False,
2025-W18,2025-05-07,India,Lay's,lays magic masala,magic masala,50046,0.981,13.5,False,
2025-W18,2025-05-07,India,Lay's,lays classic salted,classic salted,35765,0.941,10.8,False,
2025-W18,2025-05-07,India,Lay's,lays american cream onion,american cream onion,32913,1.135,38.5,False,
2025-W18,2025-05-07,India,Lay's,lays spanish tomato tango,spanish tomato tango,24463,1.112,8.1,False,
2025-W18,2025-05-07,India,Lay's,lays max peri peri,max peri peri,20011,1.112,-23.7,False,
2025-W18,2025-05-07,India,Lay's,buy lays online,buy  online,30436,0.982,-10.8,False,
2025-W18,2025-05-07,India,Lay's,lays price,price,26361,0.941,11.3,False,
2025-W18,2025-05-07,India,Pringles,pringles chips,chips,44077,1.16,11.5,False,
2025-W18,2025-05-07,India,Pringles,pringles original,original,26327,1.197,-1.5,False,
2025-W18,2025-05-07,India,Pringles,pringles sour cream onion,sour cream onion,21220,1.179,-16.4,False,
2025-W18,2025-05-07,India,Pringles,pringles price india,price india,15204,0.95,27.5,False,
2025-W18,2025-05-07,India,Pringles,pringles cheddar,cheddar,12385,1.126,18.6,False,
2025-W18,2025-05-07,India,Doritos,doritos nacho cheese,nacho cheese,33474,1.154,15.6,False,
2025-W18,2025-05-07,India,Doritos,doritos cool ranch,cool ranch,20137,1.185,-10.1,False,
2025-W18,2025-05-07,India,Doritos,doritos flamin hot,flamin hot,24634,1.173,-10.7,False,
2025-W18,2025-05-07,India,Doritos,doritos sweet chili,sweet chili,12675,1.056,15.6,False,
2025-W18,2025-05-07,India,Doritos,doritos controversy,controversy,1621,0.405,-5.5,False,
2025-W18,2025-05-07,India,category,best chips brand india,best chips brand india,48767,1.016,11.1,False,
2025-W18,2025-05-07,India,category,healthy snacks india,healthy snacks india,84427,1.189,3.3,False,
2025-W18,2025-05-07,India,category,chips on offer today,chips on offer today,45310,1.162,24.3,False,
2025-W18,2025-05-07,India,category,snacks for ipl party,snacks for ipl party,22910,1.041,24.2,False,
